,x,y
0,0,0
1,0,-1
2,1,0
3,0,-2
4,1,-1
5,0,-1
6,0,-1
7,1,-1
8,-1,-1
9,0,-1
10,-2,-1
11,0,-2
12,-2,0
13,0,-3
14,-2,-1
15,0,-4
16,-1,-1
17,-1,-4
18,0,-1
19,-1,-3
20,0,-2
21,-2,-3
22,-1,-2
23,-1,-3
24,-1,-1
25,-2,-3
26,-1,-2
27,-2,-4
28,-1,-1
29,-3,-4
30,-2,-1
31,-2,-4
32,-1,-1
33,-2,-5
34,-1,0
35,-2,-6
36,-2,0
37,-3,-6
38,-1,0
39,-4,-6
40,0,0
41,-5,-6
42,0,-1
43,-6,-6
44,-1,-1
45,-6,-5
46,0,-1
47,-7,-5
48,0,-2
49,-7,-6
50,0,-1
51,-7,-5
52,0,0
53,-7,-4
54,0,-1
55,-7,-3
56,1,-1
57,-7,-2
58,0,-1
59,-6,-2
60,1,-1
61,-6,-1
62,2,-1
63,-5,-1
64,3,-1
65,-6,-1
66,4,-1
67,-6,0
68,5,-1
69,-7,0
70,4,-1
71,-6,0
72,4,-2
73,-6,-1
74,5,-2
75,-5,-1
76,6,-2
77,-5,-2
78,7,-2
79,-6,-2
80,6,-2
81,-5,-2
82,6,-1
83,-4,-2
84,5,-1
85,-4,-3
86,6,-1
87,-3,-3
88,6,0
89,-2,-3
90,6,1
91,-2,-4
92,6,0
93,-3,-4
94,5,0
95,-3,-5
96,5,-1
97,-3,-4
98,6,-1
99,-4,-4
100,5,-1
101,-3,-4
102,4,-1
103,-3,-3
104,4,-2
105,-3,-4
106,4,-3
107,-4,-4
108,3,-3
109,-4,-5
110,3,-2
111,-4,-4
112,4,-2
113,-3,-4
114,4,-3
115,-2,-4
116,5,-3
117,-2,-3
118,5,-4
119,-1,-3
120,6,-4
121,-1,-4
122,6,-5
123,-1,-3
124,7,-5
125,-2,-3
126,7,-4
127,-3,-3
128,7,-3
129,-3,-4
130,6,-3
131,-4,-4
132,7,-3
133,-4,-5
134,7,-4
135,-5,-5
136,8,-4
137,-6,-5
138,9,-4
139,-6,-4
140,9,-5
141,-5,-4
142,9,-6
143,-5,-3
144,8,-6
145,-5,-2
146,8,-5
147,-5,-3
148,8,-6
149,-5,-4
150,9,-6
151,-4,-4
152,9,-7
153,-3,-4
154,8,-7
155,-3,-3
156,7,-7
157,-2,-3
158,7,-8
159,-1,-3
160,7,-7
161,-1,-4
162,7,-6
163,0,-4
164,7,-7
165,0,-3
166,6,-7
167,1,-3
168,5,-7
169,2,-3
170,4,-7
171,3,-3
172,4,-8
173,2,-3
174,5,-8
175,2,-2
176,5,-7
177,2,-3
178,5,-8
179,2,-4
180,5,-9
181,1,-4
182,4,-9
183,0,-4
184,4,-8
185,0,-5
186,4,-9
187,0,-4
188,3,-9
189,0,-5
190,3,-8
191,0,-4
192,2,-8
193,-1,-4
194,1,-8
195,0,-4
196,1,-9
197,-1,-4
198,0,-9
199,0,-4
200,0,-10
201,1,-4
202,0,-11
203,2,-4
204,0,-10
205,1,-4
206,0,-11
207,0,-4
208,-1,-11
209,-1,-4
210,-2,-11
211,-1,-5
212,-2,-12
213,-2,-5
214,-2,-11
215,-2,-6
216,-1,-11
217,-3,-6
218,0,-11
219,-2,-6
220,-1,-11
221,-1,-6
222,-1,-12
223,-1,-5
224,-2,-12
225,-2,-5
226,-2,-13
227,-2,-4
228,-1,-13
229,-1,-4
230,0,-13
231,-1,-3
232,0,-14
233,0,-3
234,0,-15
235,0,-4
236,0,-14
237,1,-4
238,0,-15
239,1,-5
240,1,-15
241,2,-5
242,1,-16
243,3,-5
244,0,-16
245,2,-5
246,-1,-16
247,2,-4
248,-1,-15
249,2,-5
250,-1,-14
